ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
CDS2	0.5343166966482922	15.633619709283186	4.473363628603441	6.564494740406733e-4	0.00522539156562366	-1.4870752193831303
SYWC	0.46972832292020805	16.94031883783794	4.468984921947019	6.616795150478238e-4	0.005261637616080702	-1.495274175783881
RT24	0.33599529088006425	13.501381659137778	4.464105185296892	6.675589059026382e-4	0.005302967937900732	-1.5044134131003934
SYVM	0.36632311717464244	12.341412968387415	4.462745210706906	6.692071096112321e-4	0.005310636419843421	-1.5069609011200127
GBG10	0.592995509343633	13.71514584785592	4.460541618004973	6.718866826641417e-4	0.005326465577042844	-1.5110890116340805
PYRD2	0.3060594571386285	13.778361538705488	4.4572190950808865	6.759479132954188e-4	0.00534419463853829	-1.5173141324471562
TSP1	0.2869581586355893	16.400025114944874	4.456541844068574	6.767788557969829e-4	0.00534419463853829	-1.51858316476671
LRC8E	0.4712750340230137	12.572443385856754	4.456466172680766	6.768717653285606e-4	0.00534419463853829	-1.5187249603968027
HIG2A	0.6215328738626109	14.016528004043824	4.446944629092002	6.886684316588023e-4	0.005426316507609428	-1.5365709998863144
NDRG3	0.33611800720759194	14.667420688732179	4.442322912983497	6.944710680193796e-4	0.005444457153212415	-1.5452364174525712
ACSF3	0.26907771420660265	14.639483670961706	4.440433611956908	6.968576766119358e-4	0.005454941013021523	-1.5487793016993496
PGRC2	0.27937454679318224	17.98788834750389	4.440154337511556	6.972111825824088e-4	0.005454941013021523	-1.5493030349326231
EPCR	0.7016693774426976	15.32025414777469	4.42856747777294	7.120427691279218e-4	0.00555063771483787	-1.571038594241542
LRC8A	0.28529052403328786	14.797415337801947	4.428370785952735	7.122973433725337e-4	0.00555063771483787	-1.5714076705991866
SPAG1	0.5459465488912466	12.372083994626193	4.426577121699102	7.146232002207994e-4	0.00556318781593309	-1.5747734999704655
TMX3	0.2584794507436273	17.09184847630677	4.416085616356152	7.283860523205212e-4	0.005658999329567127	-1.5944667796143372
