"ProteinID","f_control_1_imputed_intensity","f_control_2_imputed_intensity","f_control_3_imputed_intensity","f_wvirus_1_imputed_intensity","f_wvirus_2_imputed_intensity","f_wvirus_3_imputed_intensity","m_control_1_imputed_intensity","m_control_2_imputed_intensity","m_control_3_imputed_intensity","m_wvirus_1_imputed_intensity","m_wvirus_2_imputed_intensity","m_wvirus_3_imputed_intensity"
"LACTB2","10.7344725381813","10.4342770949689","10.6399954147809","15.1421270059346","15.8467954324408","15.998795343465","10.9308481961397","12.1855289934639","11.6626950753638","14.6484643195166","14.7698791573289","15.7579004047526"
"PYCR3","15.4857664283636","14.9823519174295","15.3216075386506","14.9468971388206","14.6394311569166","14.7424041808959","14.654636028528","14.6971033156872","14.6767064047812","14.1856033235871","14.3250243101914","14.6621899195172"
"CCDC92","13.7684531505828","13.6805133676155","13.6477956754628","13.7896049628777","13.4238643832688","13.9070314769172","14.3458279576394","14.1948337879","14.3256287040055","13.4616329173188","13.3150363164428","13.6483238737878"
"KLHL26","13.281549024044","13.3180767111574","13.4703156975351","12.9116822205006","13.4071748040952","13.333434915284","12.9521442468229","12.4797120677988","12.429906210434","12.7385039771153","13.1011812479877","12.4271635379029"
"EIPR1","14.7713037559552","14.7448338374995","14.7520565264781","14.5476356276354","14.7969977739948","14.5017501230919","14.6371852324334","14.5273914779046","14.5622901316016","13.9478286758167","14.401059495155","14.3282822274913"
"CDCA8","10.2686903641528","11.2896904005332","10.584237057824","12.4027083224187","10.1506549854764","10.4498217618152","12.6473729775224","12.6654536199532","12.5603591082206","12.49815112023","12.4497083808842","12.2693517173472"
"SOWAHC","13.4749353715496","13.5939512839484","13.6926263981417","12.9798681540314","12.7560788198631","13.1944475404393","13.3033526699263","13.2385077426407","13.0020273647443","12.6459510843026","12.6255924183557","13.2978047159371"
"FASTKD1","12.4903369692316","11.9844611835893","12.2241735569715","12.437819680817","12.4475430378075","12.5937015723003","12.4552861172962","12.8751541841503","12.7909634050774","12.845978054086","12.701824092982","12.6882109623682"
"FBLN7","12.2960041996308","11.700760474047","12.4596083584463","12.9368679421981","13.495517792478","13.4778088509372","12.7451091507541","12.1150111273641","11.8832465931643","12.6799330698178","12.9075629451963","13.826260475641"
"ANKRD39","12.1301618914806","11.6942229275408","12.0547908320609","12.6695317479817","12.813127823036","12.4335567538706","12.2898834438796","12.6225369081812","12.5620658931946","12.653481052311","12.7608529852545","12.896082597728"
"RAB6C","10.5260714015924","10.7345741495425","9.93297881164241","10.0404404220381","11.0702027886711","11.6961952172955","10.9083327357379","10.7401249412613","10.486397753898","10.1599548272916","10.2029219142747","11.3402064453364"
"BOLA3","11.4195366928389","11.4018928083188","11.1616546864488","13.231815179913","14.7331371657839","14.6662073562259","10.7044478117472","12.1105648710024","12.3294768249192","13.2600903630725","14.0735725700902","14.370973411272"
"TMEM177","13.1752485679419","12.6818489239066","13.0983956726378","13.5271470838024","13.2949509458345","13.1737208536726","12.594823768432","12.4352353035492","12.6770809447855","12.6364637583285","12.9025126689757","12.2701522180445"
"COBLL1","12.561478891501","12.848419509216","13.0291008380572","12.1104506840506","12.1452475627837","12.203699762319","11.7642164252808","11.5295672034969","11.5140680002422","11.3200728139202","11.6276341947999","12.0378351896376"
"HS1BP3","14.4083164708844","14.5407032094606","14.7613850137634","14.5069893401271","14.3067310312392","14.4527045584375","14.6698207044832","14.5621052567137","14.6237100569385","13.8362180546633","14.1647655406607","14.6022291008508"
"TAF1B","10.3999828087253","11.3194685445975","11.2338712876735","10.9011233313627","10.6273970864221","10.3294809184398","11.5835341268895","10.9807536636277","11.301330424143","10.2794712956445","9.43018071394767","9.93445605385077"
"CYBRD1","15.0341025463151","14.8854342319667","14.9997534246014","15.3119469414823","14.7328298870076","14.6025074980808","14.5971971007702","14.4532191817721","15.0073251687843","14.4727669822918","14.3941612084452","14.6343913372662"
"WDR81","14.166727996198","13.9116728590681","13.9295728079113","13.935956914558","13.6710876654865","13.385929789531","14.0409146849885","14.174270330477","13.9647018574204","13.4345891367429","13.6683975049439","13.6350265309796"
"ACTBL2","21.194602975158","21.2534966642115","21.1332024304938","21.4374594990541","21.5498072249196","21.4169953964944","20.4169953964944","20.4576373809918","20.194602975158","21.0088115682566","20.8950426932991","21.1142608668404"
"CCDC93","14.9805635748236","14.8783383498952","15.0253991409593","15.1126716290772","14.9226912444102","14.8905302921492","14.8358678362767","14.7304754443222","14.8515148186636","14.8975287920368","14.82114116962","14.6061969831849"
"MPV17L2","10.4199810961117","11.5697037377017","9.92880598710728","9.9877394605444","11.6121703666218","11.3013264307992","10.3253352263687","10.505969247083","10.9319379631106","9.96822645707323","10.1646490189653","10.3600117451588"
"EAPP","11.1128048961907","11.5560653235351","10.0974880431776","12.5870297271782","13.2462507114567","13.402972066549","12.1409767162827","9.52397507950172","11.8433518672589","12.5777946483588","13.0262917351129","13.5264625599828"
"OCIAD2","16.8444115470068","17.4633966502804","17.3035488882253","17.0128754698633","17.1573370657538","17.4060554921521","17.375353425063","17.388252780706","16.9718802991594","17.8104398402163","19.0529978151555","19.0908231482679"
"SFT2D3","13.8411023754973","14.0546382314088","14.200155309202","13.8696902253126","13.496866257395","13.6020492740839","13.1518727659851","13.1029844826834","12.949013233243","13.3500966270105","12.9044916244628","13.6979449251477"
"PAN3","12.0488444382226","12.3270810246551","12.3316167738451","12.6974063516547","11.058253519184","10.0375822882959","12.777360122563","12.6742253773521","12.5056106143794","11.8463170113184","12.0348436593003","12.3490766159315"
"NAALADL2","12.9454200595142","12.7607573655837","12.6547232856699","12.6549738409463","13.2665947736379","12.7702220153809","12.6997741388865","12.5994782020236","12.6329452288801","12.0026427537223","11.7802444727764","12.6364909475681"
"PLEKHG4","11.8301388371053","11.675123450595","11.3957751000328","9.72952984637913","10.1022670000539","10.5812216159486","11.9083813614033","12.1515969260748","12.2060039578827","10.4463803095629","9.97154037845629","10.8622625028107"
"HSP90AB4P","12.3004669645978","10.3291692276347","11.2743146422975","11.7855788720346","13.0592075537917","13.0038042442523","10.5486079197366","10.9190555688732","12.5119206290272","13.4085553101052","13.7845735051786","14.6594329264583"
"HSP90AB2P","10.8461625260385","14.2424223840598","15.2890246350509","16.2947445816017","14.4001990109929","10.7497995052851","10.557854303019","17.8845879052074","17.3058658126166","13.6641472474504","13.6608872703026","13.0102221213897"
"HSP90AA5P","12.6616445087131","12.7669181021768","13.3661855889281","12.7253662578956","12.9238455591183","10.092796594829","13.1090830009348","13.0419414350743","13.2238810424792","10.0872974658453","10.0914685904461","10.2673114839965"
"HSP90AA4P","13.5110360690495","13.9251464221447","13.5067786490081","13.2029303685904","12.6810363148831","11.9599620980707","14.5061711906258","14.2190474839219","13.7089329852924","13.1361227994154","12.9417298999044","12.5585187711044"
"DCAF6","12.7831025999323","12.8109410972946","12.8284875924868","12.1395673396223","11.9149942245237","11.3843034911878","13.1678414833462","13.1321076745919","12.730888279824","12.093516601838","11.794911301528","11.8556938796274"
"TMEM41B","15.2188659100697","15.8050939085131","14.4916339202789","13.9033923306642","13.4977395897132","13.6086013598812","15.8073926594714","15.5393557381445","14.9354551436088","13.1134377747651","13.8254855381986","12.8143761802134"
"TMEM97","13.4663824088136","13.6069719074852","13.6429655015401","14.1489928729228","13.5789387130934","13.4269198998207","13.8730595476615","13.7093423368841","13.8473020822267","12.6527419196757","13.1434007532791","13.4047158265966"
"ODF2","12.3533867032392","12.3264884746155","12.513791736235","11.8013082283382","11.8630130911696","11.8590688246924","12.577704971959","12.6866624711171","12.6693501518317","12.0495082510551","11.7834689321457","12.0515216495851"
