gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ASPH	-0.45492142241899436	15.754643645491775	-6.844526209455018	1.3023408212165214e-5	2.3677552039165245e-4	2.610850604082378
AMPN	-0.6626011246542652	16.54418519707183	-6.843948824971424	1.3034625553400437e-5	2.3677552039165245e-4	2.609943551545644
CAN5	-0.6023084983296426	13.21071541889967	-6.841023649623145	1.3091612931517367e-5	2.3677552039165245e-4	2.6053475119638403
NFKB2	-0.46926510018878087	13.700557537276774	-6.8149652123012485	1.3611078441966329e-5	2.4503091908141696e-4	2.56435409956679
MMP14	-0.57983251822369275	15.735069698141226	-6.799575731316577	1.3928079446133475e-5	2.495821978170047e-4	2.540101818260771
IRS2	-0.3619794160618997	14.762630474690383	-6.791317956668336	1.4101392933380758e-5	2.521069720526486e-4	2.5270753490676903
CLGN	-1.0922708076194882	12.367151049696146	-6.782620106119032	1.428641506247577e-5	2.5424588087156536e-4	2.5133448128715727
IFIT5	-0.43077625863310753	13.877976348542939	-6.761400002994054	1.4748684865396074e-5	2.612768159411965e-4	2.479804032915247
MAPK3	-0.5150113692344889	13.445677529341552	-6.758848193248138	1.4805332626964461e-5	2.6168425418159687e-4	2.4757665489242857
PCOC1	-5.690325822215344	9.433614811878233	-6.753829974199739	1.4917405473559845e-5	2.6306726160515856e-4	2.4678241585880336
S35F3	-0.7702232787476432	13.238111113065843	-6.746131677540763	1.5091082534019233e-5	2.6552793861327504e-4	2.4556334242248283
EHD1	-0.44391452953417987	16.684474556771605	-6.713240689343775	1.5857595113643404e-5	2.768172594064772e-4	2.4034590153127517
TM39B	-0.5828942117057264	12.937719303909738	-6.653388941488288	1.7360122320677363e-5	3.0002149175090636e-4	2.3081446016839156
SRGP3	-0.5160543844886931	13.406145337150495	-6.646045371665494	1.75546020423215e-5	3.020401329272883e-4	2.2964167285157195
PREX1	-0.5310365022831213	14.689127139805093	-6.644546130584895	1.7594589102888576e-5	3.020598663425264e-4	2.2940215090243505
CBWD2	-0.4175311820963398	13.473208652857997	-6.631900574682703	1.7935725657463616e-5	3.0474791608740837e-4	2.273806657564883
NUBPL	-0.4977401154478454	13.56422135094574	-6.631483577507908	1.7947093425232485e-5	3.0474791608740837e-4	2.2731396901153715
ANXA5	-0.6053373243694237	18.53328607679778	-6.624477878753368	1.8139220249613442e-5	3.0667112148096467e-4	2.2619309005082684
STA10	-0.5327698567894292	12.096008557764527	-6.622618837184201	1.819056784105791e-5	3.0687211735337823e-4	2.258955410977629
