"ProteinID","female_1_imputed_intensity","female_2_imputed_intensity","female_3_imputed_intensity","female_4_imputed_intensity","female_5_imputed_intensity","female_6_imputed_intensity","male_1_imputed_intensity","male_2_imputed_intensity","male_3_imputed_intensity","male_4_imputed_intensity","male_5_imputed_intensity","male_6_imputed_intensity"
"CPNE7","12.2017655549863","12.5013918706437","12.6625304184397","12.6052456862132","12.6133129373559","12.7694308404583","12.4528177913226","12.7508660674468","12.5795139409583","12.5844810524227","12.6248068767701","12.8190134836133"
"DHCR7","16.5827961867953","17.0642796405448","17.0068081821354","16.6126381636048","16.6369077850897","17.1326603771473","17.2264780488692","17.1466681081766","17.0433904756664","17.2333668983991","17.2725751143123","17.1494593614115"
"MGAT4C","14.2222741710472","13.5104304010216","13.6307790316484","13.6561902051316","13.4439795426013","13.79491333165","13.5247987915518","13.5253862230564","13.196771158434","12.9724611121612","13.1527601687754","13.1417798603752"
"TRPC4","11.6223630272041","11.2920742595746","11.6105127526472","11.0232553523003","10.6171460142946","11.3050585195374","10.3967867119631","10.9928038293767","11.0773030921685","10.3762556493134","10.6105358216312","10.3270248692144"
"TNFRSF10D","12.4540524821958","12.1879582242069","12.90887106281","12.8178730376385","12.7143786173187","9.54728107151724","13.0958733368273","12.9019981856685","12.9932745482841","13.0255842785482","13.2836469129063","12.6999649552154"
"HDAC6","13.3074996790879","13.7097623401462","13.7629010497751","13.9787193954949","13.8367703390621","13.9329713408624","13.8688997021797","13.863140895763","13.8989792046225","13.8689093453152","14.0118562004485","13.8283745330422"
"SPAST","14.2195013185983","14.3474068306187","14.1393435023701","14.4304721533672","14.4522862917674","14.3723209548673","14.0926250199398","14.1757210670881","14.2070829747166","14.3929613393442","14.3061685201175","14.2653366767609"
"DKK3","13.1494438803837","13.4900360603601","14.44366880669","14.4792244971396","14.2510311279996","13.5701165986278","14.8045696935382","14.6739880779142","14.8475712440326","14.7390210967044","13.6342892264724","14.5054952475527"
"METTL1","12.9343690636404","12.8509408121601","13.0663986907079","12.8612808035887","13.0629837871644","12.9406457825668","13.1581126111891","13.0170832926235","13.0040290542057","13.3289273207889","12.7399662077228","13.0684239413494"
"GULP1","13.756264418276","13.8917457370598","14.0614471397446","14.0090675384496","13.9455535706711","13.9810499023452","14.7764021877227","14.8710725993447","14.8551264016184","14.7136066831299","14.6317056892902","14.8409155787682"
"VPS29","15.9633905820859","16.1809775012429","16.2891021073275","16.3119026075858","16.3981257388194","16.1731012705257","16.5148804524629","16.2433952957952","16.3214067143929","16.4553079534152","16.1235940209727","16.3955090326715"
"EIF3K","14.1006541269199","14.3618546988182","14.7729485522779","15.3003811622461","14.7813443438223","15.0084855233621","15.5079680306251","14.9103335484045","14.9908130791536","15.232739442196","13.7668187435844","15.3653826537822"
"EXTL2","13.33356070185","13.3753788810181","13.4859927847563","13.2167610124754","13.2607975402326","12.9271705396007","13.547183741386","13.6000057963472","13.7898392683251","13.6772461521161","13.5927957131552","13.5464242537035"
"GRHPR","16.9469405325755","17.0272364874035","16.9606128839825","17.1427751863619","17.2085487322129","17.1367909018299","17.3548950198275","17.2131137150235","17.3823200559924","17.4368497807774","17.0986387001584","17.3348406551958"
"CTSZ","16.6333358437246","17.2216437586204","17.5288661284117","17.5434623526141","17.4058727326702","17.0189499384365","18.2530118372223","18.1507587784615","18.384054361363","18.2968310890881","17.1346469111939","18.1826077310925"
"DNAJB9","13.2053335538053","13.5399948084089","12.8731306998878","12.7694432381894","12.6950868865298","12.8015810566788","13.0001215109445","13.169297129688","13.0954728480073","12.7613580014188","13.3209274418093","13.317539805017"
"DNAJB11","16.9936681707937","16.8677131046997","16.9193521877874","16.9933364735503","16.9759151226802","16.8676165904476","17.1316359426013","17.0026502246899","16.7561523322025","17.0217933083518","17.156033684317","17.0830741357405"
"RNF14","14.5184871919436","14.7527151457524","14.8410188115293","14.8994324547176","14.9689322347406","14.8902595263052","14.8100594513577","14.6701195641115","14.5094904942282","14.7774402642391","14.7961562449541","14.7604704685404"
"SUCO","14.2453075817653","14.4058793788752","14.3014961949825","14.386549619666","14.3058693742505","14.2962494657989","14.0811671689377","14.0928892498015","14.0131307200968","14.2044106660664","14.1442041430094","14.1916298856159"
"UBA2","14.7060264829982","14.9552730214198","15.1387437671484","15.2810751652253","15.170065882751","15.0171085277924","15.0048919639316","14.9036606431484","14.9569024597819","15.1126757010649","14.8046856421016","15.0157112274868"
"CTNNAL1","12.2061291469011","12.2300174325904","12.4720866286062","12.0932689954642","12.1551629225781","12.4673915752055","12.5684121914613","12.2222243520662","12.0676561933577","12.2943048376053","12.3105985818353","12.1085603930277"
