name,ID,female_vs_male_p.val,female_vs_male_p.adj,significant,female_vs_male_significant,female_vs_male_ratio,female_centered,male_centered
ZN185,O15231,6.84E-07,7.33E-04,TRUE,TRUE,-0.645,-0.322,0.322
CAN5,O15484,2.83E-05,0.0468,TRUE,TRUE,0.601,0.301,-0.301
DDX3Y,O15523,7.77E-07,8.76E-04,TRUE,TRUE,-3.49,-1.75,1.75
ASAP2,O43150,6.54E-06,0.0125,TRUE,TRUE,0.763,0.382,-0.382
GPR39,O43194,4.25E-08,3.14E-06,TRUE,TRUE,1.3,0.648,-0.648
B4GA1,O43505,2.38E-07,1.34E-04,TRUE,TRUE,0.609,0.304,-0.304
PM34,O43808,9.50E-06,0.018,TRUE,TRUE,-1.03,-0.513,0.513
TBCD4,O60343,6.46E-06,0.0124,TRUE,TRUE,0.825,0.413,-0.413
NRP2,O60462,9.78E-09,3.94E-08,TRUE,TRUE,-0.827,-0.414,0.414
GMDS,O60547,4.28E-08,3.19E-06,TRUE,TRUE,1.05,0.523,-0.523
ATS4,O75173,2.57E-05,0.0434,TRUE,TRUE,1.3,0.651,-0.651
ENTP3,O75355,1.05E-08,4.83E-08,TRUE,TRUE,1.29,0.646,-0.646
GPC4,O75487,1.22E-07,3.58E-05,TRUE,TRUE,-1.17,-0.583,0.583
PAK3,O75914,8.38E-06,0.0159,TRUE,TRUE,0.772,0.386,-0.386
SYUG,O76070,1.30E-07,4.07E-05,TRUE,TRUE,-0.956,-0.478,0.478
SLIT2,O94813,6.81E-12,5.40E-14,TRUE,TRUE,-1.38,-0.692,0.692
KBTBB,O94819,1.31E-05,0.0243,TRUE,TRUE,0.801,0.4,-0.4
SVIL,O95425,1.35E-09,1.67E-11,TRUE,TRUE,0.913,0.457,-0.457
ABCA1,O95477,3.10E-07,2.09E-04,TRUE,TRUE,-0.687,-0.344,0.344
AGRL2,O95490,5.90E-08,7.07E-06,TRUE,TRUE,-0.823,-0.412,0.412
NET1,O95631,8.37E-08,1.64E-05,TRUE,TRUE,-2.89,-1.44,1.44
IL33,O95760,1.29E-12,5.40E-14,TRUE,TRUE,2.87,1.44,-1.44
CAVN2,O95810,4.18E-09,1.98E-09,TRUE,TRUE,1.06,0.53,-0.53
BAG2,O95816,6.62E-08,9.37E-06,TRUE,TRUE,-0.874,-0.437,0.437
NUD14,O95848,7.91E-06,0.0151,TRUE,TRUE,-0.853,-0.426,0.426
FADS2,O95864,5.07E-08,4.92E-06,TRUE,TRUE,-0.98,-0.49,0.49
AL1A1,P00352,9.81E-15,5.40E-14,TRUE,TRUE,3.33,1.67,-1.67
EGFR,P00533,1.19E-07,3.44E-05,TRUE,TRUE,0.595,0.298,-0.298
TPA,P00750,1.96E-07,9.40E-05,TRUE,TRUE,0.761,0.381,-0.381
CAH2,P00918,1.51E-06,0.00224,TRUE,TRUE,0.698,0.349,-0.349
ASSY,P00966,2.46E-07,1.42E-04,TRUE,TRUE,0.829,0.414,-0.414
AACT,P01011,1.36E-05,0.0251,TRUE,TRUE,0.898,0.449,-0.449
DRA,P01906,3.38E-07,2.43E-04,TRUE,TRUE,-1.12,-0.558,0.558
DRB1,P01911,5.46E-09,5.41E-09,TRUE,TRUE,-1.26,-0.631,0.631
CO1A1,P02452,3.20E-11,5.40E-14,TRUE,TRUE,1.81,0.904,-0.904
CO3A1,P02461,4.91E-10,1.02E-13,TRUE,TRUE,1.65,0.827,-0.827
GCR,P04150,1.16E-05,0.0218,TRUE,TRUE,0.587,0.293,-0.293
DPB1,P04440,7.62E-09,1.76E-08,TRUE,TRUE,-1.03,-0.516,0.516
TYSY,P04818,7.30E-06,0.014,TRUE,TRUE,-0.795,-0.397,0.397
K1C18,P05783,1.12E-08,5.86E-08,TRUE,TRUE,-0.739,-0.369,0.369
K2C8,P05787,2.21E-07,1.17E-04,TRUE,TRUE,-0.757,-0.379,0.379
CALB1,P05937,1.28E-12,5.40E-14,TRUE,TRUE,2.86,1.43,-1.43
GELS,P06396,3.55E-08,1.97E-06,TRUE,TRUE,0.709,0.354,-0.354
