"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"EST1"	1.75751261645611	12.5762367540455	9.49065278820516	3.83932060469801e-07	1.54706716801743e-05	6.33424172165946
"NEIL2"	-1.21144593613109	12.5213118654486	-9.46438431159752	3.96120210416827e-07	1.56629129256185e-05	6.30117215580388
"NCHL1"	1.14601264703141	12.0115527446416	9.43408851848879	4.10692260000078e-07	1.60500186232191e-05	6.26294502379571
"NPS3A"	1.1076736377533	16.3159576100946	9.34379750544113	4.57621699745887e-07	1.72907808564434e-05	6.14845653267732
"HNMT"	-1.27126661445824	13.960683513553	-9.18081061370255	5.57460648332542e-07	2.01645184282892e-05	5.93964389043582
"VLDLR"	1.44285677459585	15.3479290982301	9.07607514179664	6.33724097265784e-07	2.18073995771505e-05	5.80398178464726
"LEG9"	-1.01428669880169	12.9062967669071	-9.07080480625688	6.37844969625409e-07	2.18525124615718e-05	5.79712429121861
"PLXA4"	-1.13653955653158	12.3277615521832	-8.93976784085172	7.50067210210148e-07	2.51434167836393e-05	5.6256639992611
"PPIL3"	1.06059712561266	13.5954778054159	8.88855708561722	7.99497084598784e-07	2.64582503273393e-05	5.55814911267691
"CY24A"	1.05716295179747	12.4971962407142	8.81613081023849	8.75425468318974e-07	2.80172175601509e-05	5.46217365638714
"PTHR"	-1.21940734760747	10.9781360016632	-8.81026185010046	8.81906552070878e-07	2.81089641617017e-05	5.45437111845139
"NRK"	1.40092554895116	11.5819020029435	8.46777321650003	1.36499517277197e-06	4.03133811049674e-05	4.99236864455283
"S17A5"	1.10196812865365	13.9338190874602	8.34519625986724	1.60095484909781e-06	4.54402403701958e-05	4.82376880912141
"TMTC1"	-5.0182634308018	8.82841113178136	-8.30486243992909	1.68781225401953e-06	4.72162442428412e-05	4.76790958249849
"CDC20"	1.04683382535335	11.280777604273	8.23241702114289	1.85667780174357e-06	5.04873540704886e-05	4.66709961896267
"CO8A1"	1.37034858742475	16.7856532344771	8.06222118782236	2.32834922313079e-06	6.11742294198924e-05	4.42782278154788
"SFRP2"	-5.33677179981817	9.0594608832264	-7.89087576960141	2.93424228436548e-06	7.33749268344383e-05	4.18341476643823
"ETS1"	1.07925350756411	10.1020109705863	7.86853065200493	3.02486388100069e-06	7.53986102645588e-05	4.15127832402453
"TSP2"	-5.07666984920148	8.9106471514169	-7.80947245196494	3.2790157167514e-06	8.06990671809355e-05	4.06604671043748
"RDH10"	-1.23188728623332	13.476392500534	-7.75733784638305	3.52227961389493e-06	8.58707478284041e-05	3.99044989605516
"RLBP1"	-6.29056243074873	9.69933431584528	-7.69146728101732	3.85740989773173e-06	9.17402959469715e-05	3.89445377626671
"RNF5"	1.2643447647214	10.2907121079658	7.66234628131689	4.01623135747727e-06	9.43371566450188e-05	3.85184219103188
"RASF4"	1.01390999900734	11.3932103505836	7.61332041440921	4.29952113691892e-06	9.92206999460488e-05	3.77986496040229
"NADC"	1.10506108381237	14.4194707357902	7.53075471777264	4.82570730298834e-06	0.000108781233899537	3.65796325043246
"SPTC3"	-5.17735601975025	9.0035996011458	-7.50316906340831	5.01642687177676e-06	0.000112105608568413	3.61704325893645
"CD34"	-1.5402025131284	11.632589515356	-7.46449784892848	5.29738475037941e-06	0.000117372539041882	3.55951658704004
"TIM9"	-1.83385659887843	11.5718286335293	-7.37281498592196	6.03246561466757e-06	0.000128181653238442	3.42236875299639
"ARX"	-1.59946295110698	11.9719888280086	-7.33910060800812	6.32939015300878e-06	0.000133759965271601	3.37166483459898
"GABR2"	1.85782384577616	12.1661044281676	7.28721023041325	6.81710701169808e-06	0.00014213576737259	3.29333963270226
"PM34"	1.05685931223376	14.1977223193577	7.2770310309488	6.91737848213449e-06	0.00014345720654816	3.27793400692799
"DDX3Y"	7.47190264045599	10.5550927461864	7.16837031296506	8.09079657142688e-06	0.00016311438257751	3.11264515443749
"TLCD4"	1.30250579360578	12.0151940032023	7.11509085257392	8.74173322600634e-06	0.000173429743108804	3.03103744386098
"CK2N1"	-5.18175828031346	9.06875296873644	-6.98507546877668	1.05748296946458e-05	0.000200586464720147	2.83033092695915
"S35F1"	1.49348573204251	12.4611576777947	6.80541306154022	1.3806927984999e-05	0.00024798263034489	2.54930458969182
"CLGN"	-1.09227080761949	12.3671510496961	-6.78262010611903	1.42864150624758e-05	0.000254245880871565	2.51334481287157
"PCOC1"	-5.69032582221534	9.43361481187823	-6.75382997419974	1.49174054735598e-05	0.000263067261605159	2.46782415858803
"TM164"	1.47096340761861	11.3249458806131	6.56335214907512	1.99108476850594e-05	0.000330163459374642	2.16385182655363
"ABHEB"	-1.17210702881996	15.9066536229466	-6.53734727281665	2.07192441534801e-05	0.000341384664791556	2.12197284752456
"DISP2"	-1.16384574707767	12.6667792222124	-6.36724721370402	2.69410691710104e-05	0.000421570814774542	1.84578079009881
"MXRA7"	1.14879724721464	17.596754972263	6.36486441298269	2.70411099242662e-05	0.000422286570042205	1.84188395432807
"PAX8"	-5.44214848236865	9.33012250883304	-6.32177637416026	2.89194935810689e-05	0.000446243852341216	1.77128462139533
"NHSL2"	-1.13505640481278	12.3709490526179	-6.26107347738674	3.18030068564917e-05	0.000477474873210301	1.67139529353964
"CL18A;CL18B;CL18C"	5.04088211995829	9.08402477941798	6.135612995166	3.87685653739301e-05	0.000554233700207821	1.46335586953943
"PTPRU"	-1.10062341094256	11.0151006818947	-6.1007171342374	4.09799427926454e-05	0.000581571195435042	1.40511065362513
"GEMI"	4.36850706899835	8.63173319485984	6.0377378203257	4.53145052884682e-05	0.00063383256767701	1.29957178836907
"ISLR2"	-1.55594017011674	12.6184337693936	-5.72708585426291	7.50132979120812e-05	0.000933405468579608	0.771124151663546
"CO9A2"	-1.36948468747379	10.7180356553568	-5.7229066640106	7.55306237460738e-05	0.000938341311299066	0.76392623451795
"KMT5B"	-6.66699780232041	10.3102032798039	-5.64382504660402	8.60605100378586e-05	0.00103766292490609	0.627281469290923
"KCNK2"	-1.92658282286896	11.0057227990546	-5.57730155510345	9.61121190395971e-05	0.00113080779087889	0.511690172917611
"IPKB"	-1.05274586461267	11.8002556147252	-5.32990533725004	0.000145728466825879	0.00158276675268353	0.07670514594016
"ANS1B"	1.3947423806841	10.9852564010787	5.04804922619884	0.000236574459702417	0.00234973125556283	-0.428407962023975
"NOE2"	-1.31710882389418	11.6330242953669	-4.97122707147915	0.000270479601713476	0.00260982613216588	-0.567774504673173
"PDGFD"	1.2385624779375	14.188776616736	4.82452520592674	0.000350074364641159	0.00319170965277174	-0.835840217630176
"COA4"	1.44389171167778	11.630204018366	4.65100608418097	0.000476690887720493	0.00404672891319513	-1.1560268934283
"C2CD2"	-1.42770903798248	11.6937692850135	-4.59485700827821	0.000527203358216444	0.0044022335854077	-1.2603225535363
"RET1"	1.03013902295401	16.3326132787569	4.50661929826172	0.000618100445601496	0.00499684736532519	-1.42486462807886
"RAB3B"	1.13236801114344	12.8726461074609	4.50286647445313	0.000622309249383014	0.00501523215798104	-1.43187965715767
"EAA2"	-4.8155957091798	9.9868988277955	-4.41780912356638	0.000726106436455489	0.00564692975631434	-1.5912309521012
"LRRT2"	4.41756100684761	7.85263669319853	3.5645524020044	0.00355555290327881	0.0193502693693487	-3.21726039537703
"FXYD6"	-1.02126568812583	11.8868132051084	-3.54503303257759	0.00368966379661003	0.0198991091166687	-3.25476099234276
"GSTM5"	-3.70331523774211	7.49551380864578	-3.39244613129745	0.00493132050307459	0.0251151797985665	-3.54778156894344
"LARGN"	1.06715666478995	9.26070021847939	3.32343077492243	0.00562436595880371	0.0277283519671398	-3.68013797883716
"DPA1"	1.95105569541533	12.8106249588723	3.3094544535723	0.00577625676315514	0.0283062059527773	-3.7069201010386
"KCRS;KCRU"	3.30708304485643	8.10865614069966	3.18800329991767	0.0072825981834392	0.0338286353387341	-3.93924205460094
"TBA1A"	-1.05036612631598	13.6336180358971	-3.13816629042004	0.00800950634042225	0.0361381003715675	-4.03431039243572
"TRI44"	1.06873284762555	9.71498031200918	3.10563981303261	0.00852264386902696	0.0376166863617609	-4.09625586979359
