Protein,Protein ID,Control,Treatment,LogFC
sp|O95372|LYPA2_HUMAN,O95372,2,0,-Inf
sp|O95373|IPO7_HUMAN,O95373,8,7,-0.19264507794239588
sp|O95394|AGM1_HUMAN,O95394,4,1,-2
sp|O95400|CD2B2_HUMAN,O95400,3,1,-1.5849625007211563
sp|O95433|AHSA1_HUMAN,O95433,13,4,-1.7004397181410922
sp|O95453|PARN_HUMAN,O95453,3,1,-1.5849625007211563
sp|O95486|SC24A_HUMAN,O95486,6,1,-2.584962500721156
sp|O95571|ETHE1_HUMAN,O95571,4,3,-0.4150374992788438
sp|O95573|ACSL3_HUMAN,O95573,12,23,0.9385994553358568
sp|O95630|STABP_HUMAN,O95630,7,0,-Inf
sp|O95639|CPSF4_HUMAN,O95639,3,0,-Inf
sp|O95747|OXSR1_HUMAN,O95747,4,4,0
sp|O95757|HS74L_HUMAN,O95757,9,3,-1.5849625007211563
sp|O95758|PTBP3_HUMAN,O95758,12,10,-0.2630344058337938
sp|O95782|AP2A1_HUMAN,O95782,15,17,0.18057224564182084
sp|O95793|STAU1_HUMAN,O95793,7,5,-0.4854268271702417
sp|O95816|BAG2_HUMAN,O95816,6,3,-1
sp|O95817|BAG3_HUMAN,O95817,10,0,-Inf
sp|O95831|AIFM1_HUMAN,O95831,19,28,0.5594274086140185
sp|O95834|EMAL2_HUMAN,O95834,2,0,-Inf
sp|O95861|BPNT1_HUMAN,O95861,6,4,-0.5849625007211563
sp|O95864|FADS2_HUMAN,O95864,3,3,0
sp|O95865|DDAH2_HUMAN,O95865,5,1,-2.321928094887362
sp|O95881|TXD12_HUMAN,O95881,4,5,0.32192809488736235
sp|O95994|AGR2_HUMAN,O95994,21,20,-0.07038932789139803
sp|O96000|NDUBA_HUMAN,O96000,9,7,-0.36257007938470825
sp|O96005|CLPT1_HUMAN,O96005,6,4,-0.5849625007211563
sp|O96008|TOM40_HUMAN,O96008,11,8,-0.4594316186372972
sp|O96011|PX11B_HUMAN,O96011,2,0,-Inf
sp|O96013|PAK4_HUMAN,O96013,2,1,-1
sp|O96019|ACL6A_HUMAN,O96019,4,1,-2
sp|P00167|CYB5_HUMAN,P00167,8,9,0.16992500144231237
sp|P00338|LDHA_HUMAN,P00338,66,43,-0.6181293646563556
sp|P00352|AL1A1_HUMAN,P00352,220,138,-0.6728352567464905
sp|P00367|DHE3_HUMAN,P00367,18,36,1
sp|P00374|DYR_HUMAN,P00374,2,0,-Inf
sp|P00387|NB5R3_HUMAN,P00387,7,6,-0.22239242133644802
sp|P00390|GSHR_HUMAN,P00390,31,21,-0.561878887608115
sp|P00403|COX2_HUMAN,P00403,3,7,1.222392421336448
sp|P00441|SODC_HUMAN,P00441,14,4,-1.8073549220576042
sp|P00491|PNPH_HUMAN,P00491,14,5,-1.4854268271702418
sp|P00492|HPRT_HUMAN,P00492,15,7,-1.0995356735509143
sp|P00505|AATM_HUMAN,P00505,35,30,-0.22239242133644802
sp|P00533|EGFR_HUMAN,P00533,19,17,-0.1604646721932461
sp|P00558|PGK1_HUMAN,P00558,103,65,-0.6641327141547637
sp|P00568|KAD1_HUMAN,P00568,6,3,-1
sp|P00813|ADA_HUMAN,P00813,8,2,-2
sp|P01112|RASH_HUMAN,P01112,3,5,0.7369655941662062
sp|P01116|RASK_HUMAN,P01116,2,1,-1
sp|P01130|LDLR_HUMAN,P01130,9,4,-1.1699250014423124
sp|P01889|HLAB_HUMAN,P01889,4,1,-2
sp|P02545|LMNA_HUMAN,P02545,69,94,0.44606439489946836
sp|P02751|FINC_HUMAN,P02751,7,7,0
sp|P02786|TFR1_HUMAN,P02786,21,23,0.13124453327825272
sp|P02795|MT2_HUMAN,P02795,5,0,-Inf
sp|P04040|CATA_HUMAN,P04040,9,16,0.8300749985576875
sp|P04062|GBA1_HUMAN,P04062,3,4,0.41503749927884376
sp|P04066|FUCO_HUMAN,P04066,2,2,0
sp|P04075|ALDOA_HUMAN,P04075,79,56,-0.4964258261194988
sp|P04080|CYTB_HUMAN,P04080,10,6,-0.7369655941662062
sp|P04083|ANXA1_HUMAN,P04083,105,89,-0.2385120866997249
sp|P04179|SODM_HUMAN,P04179,11,9,-0.28950661719498483
sp|P04181|OAT_HUMAN,P04181,8,6,-0.4150374992788438
sp|P04183|KITH_HUMAN,P04183,6,0,-Inf
sp|P04264|K2C1_HUMAN,P04264,8,6,-0.4150374992788438
sp|P04406|G3P_HUMAN,P04406,143,97,-0.5599584945912617
sp|P04439|HLAA_HUMAN,P04439,5,3,-0.7369655941662062
sp|P04632|CPNS1_HUMAN,P04632,17,10,-0.765534746362977
sp|P04792|HSPB1_HUMAN,P04792,38,28,-0.4405725913859815
sp|P04843|RPN1_HUMAN,P04843,20,30,0.5849625007211562
sp|P04844|RPN2_HUMAN,P04844,12,18,0.5849625007211562
sp|P04899|GNAI2_HUMAN,P04899,2,4,1
sp|P05023|AT1A1_HUMAN,P05023,27,38,0.493040011280117
sp|P05026|AT1B1_HUMAN,P05026,11,7,-0.6520766965796931
sp|P05067|A4_HUMAN,P05067,4,0,-Inf
sp|P05091|ALDH2_HUMAN,P05091,24,33,0.45943161863729726
sp|P05121|PAI1_HUMAN,P05121,6,3,-1
sp|P05141|ADT2_HUMAN,P05141,30,45,0.5849625007211562
sp|P05198|IF2A_HUMAN,P05198,21,9,-1.222392421336448
sp|P05204|HMGN2_HUMAN,P05204,2,0,-Inf
sp|P05386|RLA1_HUMAN,P05386,5,4,-0.3219280948873623
sp|P05387|RLA2_HUMAN,P05387,30,26,-0.20645087746742632
sp|P05388|RLA0_HUMAN,P05388,22,19,-0.21150410519371174
sp|P05455|LA_HUMAN,P05455,32,12,-1.415037499278844
sp|P05556|ITB1_HUMAN,P05556,34,27,-0.3325753390868709
sp|P05783|K1C18_HUMAN,P05783,104,204,0.9719856238304033
sp|P05787|K2C8_HUMAN,P05787,118,253,1.100350525332469
sp|P06132|DCUP_HUMAN,P06132,2,0,-Inf
sp|P06280|AGAL_HUMAN,P06280,8,3,-1.415037499278844
sp|P06396|GELS_HUMAN,P06396,7,16,1.1926450779423958
sp|P06493|CDK1_HUMAN,P06493,17,12,-0.5025003405291831
sp|P06576|ATPB_HUMAN,P06576,56,60,0.09953567355091437
sp|P06703|S10A6_HUMAN,P06703,19,12,-0.6629650127224294
sp|P06730|IF4E_HUMAN,P06730,5,3,-0.7369655941662062
sp|P06733|ENOA_HUMAN,P06733,134,76,-0.818161677014187
sp|P06737|PYGL_HUMAN,P06737,11,6,-0.8744691179161412
sp|P06744|G6PI_HUMAN,P06744,73,48,-0.6048620581588612
sp|P06748|NPM_HUMAN,P06748,51,38,-0.42449782852791007
sp|P06753|TPM3_HUMAN,P06753,13,7,-0.8930847960834881
sp|P06756|ITAV_HUMAN,P06756,31,39,0.3312059084753731
sp|P06858|LIPL_HUMAN,P06858,2,1,-1
sp|P06865|HEXA_HUMAN,P06865,10,9,-0.15200309344504995
sp|P07099|HYEP_HUMAN,P07099,25,44,0.8155754288625726
sp|P07108|ACBP_HUMAN,P07108,16,10,-0.6780719051126377
sp|P07195|LDHB_HUMAN,P07195,41,33,-0.3131578852596302
sp|P07237|PDIA1_HUMAN,P07237,75,79,0.07496205768122191
sp|P07305|H10_HUMAN,P07305,6,7,0.22239242133644802
sp|P07311|ACYP1_HUMAN,P07311,3,0,-Inf
sp|P07339|CATD_HUMAN,P07339,26,18,-0.5305147166987798
sp|P07355|ANXA2_HUMAN,P07355,182,155,-0.23167023492445876
sp|P07384|CAN1_HUMAN,P07384,11,9,-0.28950661719498483
sp|P07437|TBB5_HUMAN,P07437,19,17,-0.1604646721932461
sp|P07602|SAP_HUMAN,P07602,15,6,-1.3219280948873622
sp|P07686|HEXB_HUMAN,P07686,13,14,0.10691520391651188
sp|P07711|CATL1_HUMAN,P07711,5,0,-Inf
sp|P07737|PROF1_HUMAN,P07737,63,41,-0.6197279188818328
sp|P07741|APT_HUMAN,P07741,11,7,-0.6520766965796931
sp|P07814|SYEP_HUMAN,P07814,32,22,-0.5405683813627028
sp|P07858|CATB_HUMAN,P07858,11,11,0
sp|P07900|HS90A_HUMAN,P07900,108,70,-0.6256044852185021
sp|P07910|HNRPC_HUMAN,P07910,33,29,-0.18641312423088133
sp|P07919|QCR6_HUMAN,P07919,6,2,-1.5849625007211563
sp|P07942|LAMB1_HUMAN,P07942,18,9,-1
sp|P07948|LYN_HUMAN,P07948,3,6,1
sp|P07951|TPM2_HUMAN,P07951,18,6,-1.5849625007211563
sp|P07954|FUMH_HUMAN,P07954,12,14,0.22239242133644802
sp|P08069|IGF1R_HUMAN,P08069,4,0,-Inf
sp|P08133|ANXA6_HUMAN,P08133,25,21,-0.25153876699596445
sp|P08134|RHOC_HUMAN,P08134,2,1,-1
sp|P08195|4F2_HUMAN,P08195,41,44,0.10187961401921365
sp|P08237|PFKAM_HUMAN,P08237,5,7,0.48542682717024166
sp|P08238|HS90B_HUMAN,P08238,75,48,-0.6438561897747247
sp|P08243|ASNS_HUMAN,P08243,6,4,-0.5849625007211563
sp|P08397|HEM3_HUMAN,P08397,3,1,-1.5849625007211563
sp|P08559|ODPA_HUMAN,P08559,10,18,0.8479969065549501
